"filename", "language", "Python", "YAML", "MS SQL", "Markdown", "pip requirements", "comment", "blank", "total"
"c:\Users\Eric\Desktop\coach.pro.python\ui\pages\database_page_tabs\aliments_tab.py", "Python", 49, 0, 0, 0, 0, 0, 12, 61
"c:\Users\Eric\Desktop\coach.pro.python\ui\pages\messaging_page.py", "Python", 6, 0, 0, 0, 0, 0, 4, 10
"c:\Users\Eric\Desktop\coach.pro.python\ui\pages\nutrition_page.py", "Python", 226, 0, 0, 0, 0, 4, 36, 266
"c:\Users\Eric\Desktop\coach.pro.python\ui\pages\pdf_page.py", "Python", 6, 0, 0, 0, 0, 0, 4, 10
"c:\Users\Eric\Desktop\coach.pro.python\ui\pages\program_page.py", "Python", 6, 0, 0, 0, 0, 0, 4, 10
"c:\Users\Eric\Desktop\coach.pro.python\ui\pages\progress_page.py", "Python", 6, 0, 0, 0, 0, 0, 4, 10
"c:\Users\Eric\Desktop\coach.pro.python\ui\pages\session_page.py", "Python", 107, 0, 0, 0, 0, 1, 26, 134
"c:\Users\Eric\Desktop\coach.pro.python\ui\pages\session_page_components\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Eric\Desktop\coach.pro.python\ui\pages\session_page_components\block_card.py", "Python", 91, 0, 0, 0, 0, 5, 19, 115
"c:\Users\Eric\Desktop\coach.pro.python\ui\pages\session_page_components\form_collectif.py", "Python", 151, 0, 0, 0, 0, 8, 13, 172
"c:\Users\Eric\Desktop\coach.pro.python\ui\pages\session_page_components\form_individuel.py", "Python", 54, 0, 0, 0, 0, 3, 11, 68
"c:\Users\Eric\Desktop\coach.pro.python\ui\pages\session_page_components\session_preview.py", "Python", 86, 0, 0, 0, 0, 6, 18, 110
"c:\Users\Eric\Desktop\coach.pro.python\ui\pages\session_page_components\ui_helpers.py", "Python", 53, 0, 0, 0, 0, 3, 12, 68
"c:\Users\Eric\Desktop\coach.pro.python\ui\pages\session_preview_panel.py", "Python", 48, 0, 0, 0, 0, 0, 14, 62
"c:\Users\Eric\Desktop\coach.pro.python\ui\theme\colors.py", "Python", 14, 0, 0, 0, 0, 7, 7, 28
"c:\Users\Eric\Desktop\coach.pro.python\ui\theme\fonts.py", "Python", 14, 0, 0, 0, 0, 1, 13, 28
"c:\Users\Eric\Desktop\coach.pro.python\ui\theme\theme.py", "Python", 4, 0, 0, 0, 0, 1, 4, 9
"c:\Users\Eric\Desktop\coach.pro.python\utils\icon_loader.py", "Python", 0, 0, 0, 0, 0, 0, 2, 2
"Total", "-", 3675, 27, 115, 128, 37, 100, 797, 4879
